blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
98.0,30.0,238.0,222.0,12,80.0,48.0,7.0,236.0,432,blue,NA1_4059593434
164.0,163.0,103.0,18.0,432,875.0,30.0,777.0,202.0,111,blue,NA1_4059542139
164.0,163.0,38.0,202.0,53,86.0,30.0,238.0,360.0,89,red,NA1_4058383558
78.0,5.0,246.0,711.0,555,164.0,30.0,157.0,115.0,16,red,NA1_4055842175
114.0,104.0,43.0,21.0,147,102.0,245.0,246.0,236.0,235,blue,NA1_4055759423
24.0,28.0,777.0,51.0,32,875.0,30.0,39.0,236.0,201,blue,NA1_4055775695
92.0,141.0,13.0,145.0,111,875.0,30.0,142.0,119.0,44,red,NA1_4053947925
62.0,64.0,20.0,119.0,40,23.0,104.0,711.0,360.0,111,red,NA1_4051399264
39.0,30.0,238.0,498.0,111,62.0,427.0,92.0,81.0,32,red,NA1_4051394714
150.0,141.0,517.0,236.0,37,164.0,163.0,38.0,202.0,12,red,NA1_4051382684
887.0,104.0,711.0,236.0,267,39.0,64.0,1.0,51.0,555,blue,NA1_4050907535
98.0,60.0,246.0,202.0,32,266.0,64.0,7.0,22.0,37,blue,NA1_4060641858
98.0,78.0,38.0,202.0,53,85.0,91.0,18.0,29.0,43,blue,NA1_4060568431
98.0,106.0,238.0,236.0,201,92.0,104.0,517.0,21.0,32,blue,NA1_4060118381
266.0,91.0,55.0,81.0,103,98.0,104.0,711.0,236.0,53,red,NA1_4060073444
98.0,421.0,7.0,236.0,111,41.0,5.0,85.0,81.0,43,red,NA1_4059998516
98.0,245.0,238.0,21.0,26,48.0,32.0,39.0,711.0,43,red,NA1_4059993477
98.0,59.0,238.0,30.0,32,39.0,64.0,157.0,69.0,497,blue,NA1_4059852012
98.0,145.0,517.0,81.0,350,23.0,876.0,246.0,222.0,412,red,NA1_4059677925
266.0,246.0,157.0,115.0,147,98.0,64.0,7.0,236.0,412,red,NA1_4059692266
98.0,141.0,84.0,22.0,63,266.0,876.0,238.0,21.0,101,blue,NA1_4059616129
39.0,76.0,136.0,119.0,32,98.0,245.0,126.0,51.0,497,red,NA1_4058835197
