blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
82.0,421.0,105.0,67.0,147,10.0,245.0,203.0,18.0,412,red,NA1_4058949855
92.0,141.0,1.0,236.0,53,875.0,234.0,131.0,51.0,235,red,NA1_4055189934
39.0,245.0,157.0,51.0,43,875.0,163.0,246.0,202.0,432,red,NA1_4061325746
27.0,5.0,61.0,16.0,89,17.0,59.0,166.0,523.0,32,red,NA1_4058204122
86.0,238.0,103.0,30.0,12,266.0,104.0,203.0,115.0,98,blue,NA1_4055534948
166.0,107.0,7.0,96.0,147,223.0,28.0,234.0,67.0,350,red,NA1_4053055444
54.0,234.0,103.0,81.0,555,164.0,5.0,268.0,145.0,44,blue,NA1_4052895336
24.0,245.0,555.0,51.0,223,164.0,30.0,13.0,202.0,3,blue,NA1_4057863648
164.0,5.0,711.0,51.0,25,266.0,59.0,61.0,21.0,497,red,NA1_4059899153
92.0,56.0,7.0,15.0,80,164.0,59.0,8.0,21.0,9,blue,NA1_4055389205
39.0,421.0,246.0,96.0,117,23.0,131.0,55.0,119.0,350,blue,NA1_4060228205
240.0,76.0,711.0,51.0,53,875.0,421.0,142.0,202.0,25,red,NA1_4054330071
238.0,27.0,7.0,67.0,161,23.0,203.0,90.0,18.0,117,red,NA1_4058424015
54.0,131.0,238.0,236.0,267,82.0,11.0,103.0,67.0,37,red,NA1_4054633449
266.0,141.0,75.0,51.0,89,166.0,427.0,7.0,67.0,40,blue,NA1_4058976873
23.0,104.0,38.0,115.0,111,86.0,11.0,18.0,45.0,40,red,NA1_4050328811
122.0,68.0,62.0,202.0,37,98.0,11.0,246.0,81.0,74,red,NA1_4050702034
39.0,104.0,96.0,711.0,432,164.0,48.0,203.0,202.0,350,red,NA1_4052336158
17.0,121.0,24.0,51.0,432,777.0,30.0,68.0,157.0,12,blue,NA1_4060958599
114.0,59.0,105.0,18.0,117,164.0,64.0,7.0,96.0,412,blue,NA1_4054965371
875.0,246.0,90.0,523.0,412,266.0,421.0,85.0,236.0,32,red,NA1_4058056919
23.0,121.0,7.0,81.0,45,78.0,2.0,42.0,67.0,16,red,NA1_4053206631
54.0,11.0,517.0,81.0,526,92.0,59.0,127.0,67.0,117,blue,NA1_4057325661
54.0,104.0,246.0,236.0,517,164.0,121.0,711.0,133.0,32,red,NA1_4054564537
54.0,234.0,112.0,81.0,235,266.0,79.0,246.0,147.0,37,red,NA1_4053886449
517.0,91.0,84.0,498.0,25,166.0,120.0,69.0,203.0,412,red,NA1_4058609543
24.0,141.0,517.0,51.0,89,777.0,72.0,104.0,21.0,201,red,NA1_4060726055
85.0,5.0,64.0,115.0,111,92.0,131.0,1.0,51.0,3,blue,NA1_4060690655
517.0,20.0,23.0,236.0,267,875.0,163.0,518.0,29.0,497,blue,NA1_4061054279
82.0,59.0,142.0,22.0,111,126.0,5.0,517.0,498.0,32,blue,NA1_4057824825
17.0,517.0,246.0,51.0,16,31.0,104.0,238.0,498.0,497,red,NA1_4055102531
104.0,64.0,268.0,360.0,111,119.0,421.0,105.0,15.0,201,red,NA1_4059897951
43.0,106.0,105.0,51.0,89,82.0,35.0,34.0,202.0,267,red,NA1_4057423999
517.0,120.0,203.0,236.0,350,78.0,91.0,245.0,67.0,98,blue,NA1_4054636187
875.0,238.0,13.0,145.0,111,157.0,245.0,131.0,222.0,526,red,NA1_4060198162
62.0,9.0,157.0,236.0,497,164.0,104.0,103.0,21.0,163,red,NA1_4060199281
23.0,163.0,80.0,67.0,412,234.0,107.0,8.0,15.0,37,red,NA1_4061351732
39.0,2.0,67.0,22.0,143,875.0,20.0,3.0,119.0,43,red,NA1_4058279033
23.0,48.0,711.0,236.0,875,85.0,238.0,38.0,21.0,432,red,NA1_4055356540
