position,champion id,win rate
0.0,266.0,0.491
1.0,266.0,0.5
2.0,266.0,0.571
3.0,266.0,0.5
4.0,266.0,0.5
0.0,103.0,0.6
1.0,103.0,0.5
2.0,103.0,0.522
3.0,103.0,0.286
4.0,103.0,0.6
0.0,84.0,0.451
1.0,84.0,0.5
2.0,84.0,0.511
3.0,84.0,0.5
4.0,84.0,0.5
0.0,166.0,0.596
1.0,166.0,0.5
2.0,166.0,0.51
3.0,166.0,0.486
4.0,166.0,0.667
0.0,12.0,1.0
1.0,12.0,0.0
2.0,12.0,0.0
3.0,12.0,0.5
4.0,12.0,0.496
0.0,32.0,0.5
1.0,32.0,0.567
2.0,32.0,0.0
3.0,32.0,0.5
4.0,32.0,0.538
0.0,34.0,0.429
1.0,34.0,0.5
2.0,34.0,0.438
3.0,34.0,1.0
4.0,34.0,0.491
0.0,1.0,0.294
1.0,1.0,0.0
2.0,1.0,0.456
3.0,1.0,1.0
4.0,1.0,0.571
0.0,523.0,0.5
1.0,523.0,0.5
2.0,523.0,0.5
3.0,523.0,0.496
4.0,523.0,0.5
0.0,22.0,0.5
1.0,22.0,0.5
2.0,22.0,0.0
3.0,22.0,0.483
4.0,22.0,0.0
0.0,136.0,0.5
1.0,136.0,0.5
2.0,136.0,0.387
3.0,136.0,0.5
4.0,136.0,0.5
0.0,268.0,0.429
1.0,268.0,0.5
2.0,268.0,0.545
3.0,268.0,0.667
4.0,268.0,0.5
0.0,432.0,0.5
1.0,432.0,0.5
2.0,432.0,0.5
3.0,432.0,0.0
4.0,432.0,0.482
0.0,53.0,0.5
1.0,53.0,0.5
2.0,53.0,0.0
3.0,53.0,0.5
4.0,53.0,0.554
0.0,63.0,0.0
1.0,63.0,0.5
2.0,63.0,0.458
3.0,63.0,0.278
4.0,63.0,0.498
0.0,201.0,0.5
1.0,201.0,0.5
2.0,201.0,0.5
3.0,201.0,0.5
4.0,201.0,0.498
0.0,51.0,0.0
1.0,51.0,0.5
2.0,51.0,0.667
3.0,51.0,0.509
4.0,51.0,0.5
0.0,164.0,0.506
1.0,164.0,0.75
2.0,164.0,0.35
3.0,164.0,0.5
4.0,164.0,0.4
0.0,69.0,0.565
1.0,69.0,0.5
2.0,69.0,0.569
3.0,69.0,0.339
4.0,69.0,0.5
0.0,31.0,0.504
1.0,31.0,0.4
2.0,31.0,0.6
3.0,31.0,0.0
4.0,31.0,0.8
0.0,42.0,0.489
1.0,42.0,0.5
2.0,42.0,0.578
3.0,42.0,0.714
4.0,42.0,0.5
0.0,122.0,0.464
1.0,122.0,0.5
2.0,122.0,0.4
3.0,122.0,0.5
4.0,122.0,0.0
0.0,131.0,0.667
1.0,131.0,0.492
2.0,131.0,0.537
3.0,131.0,1.0
4.0,131.0,0.5
0.0,119.0,0.455
1.0,119.0,0.5
2.0,119.0,0.5
3.0,119.0,0.507
4.0,119.0,0.5
0.0,36.0,0.491
1.0,36.0,0.4
2.0,36.0,0.0
3.0,36.0,0.0
4.0,36.0,0.5
0.0,245.0,0.75
1.0,245.0,0.515
2.0,245.0,0.428
3.0,245.0,0.5
4.0,245.0,0.25
0.0,60.0,0.5
1.0,60.0,0.439
2.0,60.0,0.5
3.0,60.0,0.5
4.0,60.0,0.667
0.0,28.0,0.5
1.0,28.0,0.513
2.0,28.0,0.0
3.0,28.0,0.5
4.0,28.0,0.5
0.0,81.0,0.5
1.0,81.0,0.0
2.0,81.0,0.429
3.0,81.0,0.494
4.0,81.0,0.5
0.0,9.0,0.0
1.0,9.0,0.509
2.0,9.0,0.0
3.0,9.0,0.0
4.0,9.0,0.0
0.0,114.0,0.512
1.0,114.0,0.5
2.0,114.0,0.4
3.0,114.0,0.0
4.0,114.0,0.5
0.0,105.0,0.0
1.0,105.0,0.5
2.0,105.0,0.541
3.0,105.0,0.5
4.0,105.0,0.5
0.0,3.0,0.5
1.0,3.0,0.5
2.0,3.0,0.516
3.0,3.0,0.0
4.0,3.0,0.522
0.0,41.0,0.452
1.0,41.0,0.0
2.0,41.0,0.312
3.0,41.0,0.5
4.0,41.0,0.5
0.0,86.0,0.409
1.0,86.0,0.5
2.0,86.0,0.533
3.0,86.0,0.5
4.0,86.0,0.5
0.0,150.0,0.49
1.0,150.0,0.5
2.0,150.0,0.5
3.0,150.0,0.5
4.0,150.0,0.5
0.0,79.0,0.485
1.0,79.0,0.504
2.0,79.0,0.533
3.0,79.0,0.5
4.0,79.0,0.46
0.0,104.0,0.417
1.0,104.0,0.489
2.0,104.0,0.491
3.0,104.0,0.0
4.0,104.0,0.5
0.0,887.0,0.507
1.0,887.0,0.286
2.0,887.0,0.231
3.0,887.0,0.5
4.0,887.0,0.5
0.0,120.0,0.5
1.0,120.0,0.488
2.0,120.0,0.5
3.0,120.0,0.5
