champion 1,champion 2,win rate
266.0,103.0,0.609
103.0,266.0,0.609
266.0,84.0,0.389
84.0,266.0,0.389
266.0,166.0,0.357
166.0,266.0,0.357
266.0,12.0,0.641
12.0,266.0,0.641
266.0,32.0,0.609
32.0,266.0,0.609
266.0,34.0,0.25
34.0,266.0,0.25
266.0,1.0,0.5
1.0,266.0,0.5
266.0,523.0,0.533
523.0,266.0,0.533
266.0,22.0,0.324
22.0,266.0,0.324
266.0,136.0,0.333
136.0,266.0,0.333
266.0,268.0,0.636
268.0,266.0,0.636
266.0,432.0,0.421
432.0,266.0,0.421
266.0,53.0,0.568
53.0,266.0,0.568
266.0,63.0,0.357
63.0,266.0,0.357
266.0,201.0,0.467
201.0,266.0,0.467
266.0,51.0,0.528
51.0,266.0,0.528
266.0,164.0,0.333
164.0,266.0,0.333
266.0,69.0,0.562
69.0,266.0,0.562
266.0,31.0,0.333
31.0,266.0,0.333
266.0,42.0,0.533
42.0,266.0,0.533
266.0,122.0,0.5
122.0,266.0,0.5
266.0,131.0,0.56
131.0,266.0,0.56
266.0,119.0,0.5
119.0,266.0,0.5
266.0,36.0,0.0
36.0,266.0,0.0
266.0,245.0,0.417
245.0,266.0,0.417
266.0,60.0,0.5
60.0,266.0,0.5
266.0,28.0,0.562
28.0,266.0,0.562
266.0,81.0,0.452
81.0,266.0,0.452
266.0,9.0,0.412
9.0,266.0,0.412
266.0,114.0,0.5
114.0,266.0,0.5
266.0,105.0,0.571
105.0,266.0,0.571
266.0,3.0,0.543
3.0,266.0,0.543
266.0,41.0,0.5
41.0,266.0,0.5
266.0,86.0,0.5
86.0,266.0,0.5
266.0,150.0,0.5
150.0,266.0,0.5
266.0,79.0,0.5
79.0,266.0,0.5
266.0,104.0,0.584
104.0,266.0,0.584
266.0,887.0,0.0
887.0,266.0,0.0
266.0,120.0,0.5
120.0,266.0,0.5
266.0,74.0,0.167
74.0,266.0,0.167
266.0,420.0,0.0
420.0,266.0,0.0
266.0,39.0,0.278
39.0,266.0,0.278
266.0,427.0,0.4
427.0,266.0,0.4
266.0,40.0,0.464
40.0,266.0,0.464
266.0,59.0,0.453
59.0,266.0,0.453
266.0,24.0,0.5
24.0,266.0,0.5
266.0,126.0,0.429
126.0,266.0,0.429
266.0,202.0,0.535
202.0,266.0,0.535
266.0,222.0,0.333
222.0,266.0,0.333
266.0,145.0,0.545
145.0,266.0,0.545
266.0,429.0,0.2
429.0,266.0,0.2
266.0,43.0,0.6
43.0,266.0,0.6
266.0,30.0,0.576
30.0,266.0,0.576
266.0,38.0,0.462
38.0,266.0,0.462
266.0,55.0,0.35
55.0,266.0,0.35
266.0,10.0,0.429
10.0,266.0,0.429
266.0,141.0,0.439
141.0,266.0,0.439
266.0,85.0,0.889
85.0,266.0,0.889
266.0,121.0,0.471
121.0,266.0,0.471
266.0,203.0,0.54
203.0,266.0,0.54
266.0,240.0,0.667
240.0,266.0,0.667
266.0,96.0,0.538
96.0,266.0,0.538
266.0,7.0,0.5
7.0,266.0,0.5
266.0,64.0,0.453
64.0,266.0,0.453
266.0,89.0,0.538
89.0,266.0,0.538
266.0,876.0,0.452
876.0,266.0,0.452
266.0,127.0,0.444
127.0,266.0,0.444
266.0,236.0,0.393
236.0,266.0,0.393
266.0,117.0,0.516
117.0,266.0,0.516
266.0,99.0,0.538
99.0,266.0,0.538
266.0,54.0,0.0
54.0,266.0,0.0
266.0,90.0,0.375
90.0,266.0,0.375
266.0,57.0,0.2
57.0,266.0,0.2
266.0,11.0,0.375
11.0,266.0,0.375
266.0,21.0,0.49
21.0,266.0,0.49
266.0,62.0,0.5
62.0,266.0,0.5
266.0,82.0,0.5
82.0,266.0,0.5
266.0,25.0,0.476
25.0,266.0,0.476
266.0,267.0,0.511
267.0,266.0,0.511
266.0,75.0,0.556
75.0,266.0,0.556
266.0,111.0,0.593
111.0,266.0,0.593
266.0,518.0,1.0
518.0,266.0,1.0
266.0,76.0,0.739
76.0,266.0,0.739
266.0,56.0,0.333
56.0,266.0,0.333
266.0,20.0,0.522
20.0,266.0,0.522
266.0,2.0,0.727
2.0,266.0,0.727
266.0,61.0,0.5
61.0,266.0,0.5
266.0,516.0,0.5
516.0,266.0,0.5
266.0,80.0,0.7
80.0,266.0,0.7
266.0,78.0,0.6
78.0,266.0,0.6
266.0,555.0,0.526
555.0,266.0,0.526
266.0,246.0,0.459
246.0,266.0,0.459
266.0,133.0,1.0
133.0,266.0,1.0
266.0,497.0,0.481
497.0,266.0,0.481
266.0,33.0,0.5
33.0,266.0,0.5
266.0,421.0,0.556
421.0,266.0,0.556
266.0,526.0,0.643
526.0,266.0,0.643
266.0,58.0,1.0
58.0,266.0,1.0
266.0,107.0,0.5
107.0,266.0,0.5
266.0,92.0,0.75
92.0,266.0,0.75
266.0,68.0,0.733
68.0,266.0,0.733
266.0,13.0,0.579
13.0,266.0,0.579
266.0,360.0,0.778
360.0,266.0,0.778
266.0,113.0,0.375
113.0,266.0,0.375
266.0,235.0,0.471
235.0,266.0,0.471
266.0,147.0,0.282
147.0,266.0,0.282
266.0,875.0,0.4
875.0,266.0,0.4
266.0,35.0,0.438
35.0,266.0,0.438
266.0,98.0,0.182
98.0,266.0,0.182
266.0,102.0,0.385
102.0,266.0,0.385
266.0,27.0,0.0
27.0,266.0,0.0
266.0,14.0,0.5
14.0,266.0,0.5
266.0,15.0,0.333
15.0,266.0,0.333
266.0,72.0,0.5
72.0,266.0,0.5
266.0,37.0,0.362
37.0,266.0,0.362
266.0,16.0,0.571
16.0,266.0,0.571
266.0,50.0,0.25
50.0,266.0,0.25
266.0,517.0,0.444
517.0,266.0,0.444
266.0,134.0,0.533
134.0,266.0,0.533
266.0,223.0,0.5
223.0,266.0,0.5
266.0,163.0,0.452
163.0,266.0,0.452
266.0,91.0,0.591
91.0,266.0,0.591
266.0,44.0,0.25
44.0,266.0,0.25
266.0,17.0,1.0
17.0,266.0,1.0
266.0,412.0,0.481
412.0,266.0,0.481
266.0,18.0,0.583
18.0,266.0,0.583
266.0,48.0,0.545
48.0,266.0,0.545
266.0,23.0,0.385
23.0,266.0,0.385
266.0,4.0,0.308
4.0,266.0,0.308
266.0,29.0,0.435
29.0,266.0,0.435
266.0,77.0,0.714
77.0,266.0,0.714
266.0,6.0,0.5
6.0,266.0,0.5
266.0,110.0,0.375
110.0,266.0,0.375
266.0,67.0,0.6
67.0,266.0,0.6
266.0,45.0,0.5
45.0,266.0,0.5
266.0,161.0,0.429
161.0,266.0,0.429
266.0,711.0,0.448
711.0,266.0,0.448
266.0,254.0,0.667
254.0,266.0,0.667
266.0,234.0,0.304
234.0,266.0,0.304
266.0,112.0,0.333
112.0,266.0,0.333
266.0,8.0,0.5
8.0,266.0,0.5
266.0,106.0,0.0
106.0,266.0,0.0
266.0,19.0,1.0
19.0,266.0,1.0
266.0,498.0,0.588
498.0,266.0,0.588
266.0,101.0,0.571
101.0,266.0,0.571
266.0,5.0,0.464
5.0,266.0,0.464
266.0,157.0,0.682
157.0,266.0,0.682
266.0,777.0,0.523
777.0,266.0,0.523
266.0,83.0,0.5
83.0,266.0,0.5
266.0,350.0,0.375
350.0,266.0,0.375
266.0,154.0,0.455
154.0,266.0,0.455
266.0,238.0,0.58
238.0,266.0,0.58
266.0,115.0,0.531
115.0,266.0,0.531
266.0,26.0,0.632
26.0,266.0,0.632
266.0,142.0,0.633
142.0,266.0,0.633
266.0,143.0,0.5
143.0,266.0,0.5
103.0,84.0,0.667
84.0,103.0,0.667
103.0,166.0,0.6
166.0,103.0,0.6
103.0,12.0,0.667
12.0,103.0,0.667
103.0,32.0,0.382
32.0,103.0,0.382
103.0,34.0,0.0
34.0,103.0,0.0
103.0,1.0,1.0
1.0,103.0,1.0
103.0,523.0,0.769
523.0,103.0,0.769
103.0,22.0,0.6
22.0,103.0,0.6
103.0,136.0,0.5
136.0,103.0,0.5
103.0,268.0,0.0
268.0,103.0,0.0
103.0,432.0,0.529
432.0,103.0,0.529
103.0,53.0,0.5
53.0,103.0,0.5
103.0,63.0,0.333
63.0,103.0,0.333
103.0,201.0,0.286
201.0,103.0,0.286
103.0,51.0,0.63
51.0,103.0,0.63
103.0,164.0,0.5
164.0,103.0,0.5
103.0,69.0,0.25
69.0,103.0,0.25
103.0,31.0,0.333
31.0,103.0,0.333
103.0,42.0,0.75
42.0,103.0,0.75
103.0,122.0,0.6
122.0,103.0,0.6
103.0,131.0,0.6
131.0,103.0,0.6
103.0,119.0,0.421
119.0,103.0,0.421
103.0,36.0,0.5
36.0,103.0,0.5
103.0,245.0,0.455
245.0,103.0,0.455
103.0,60.0,0.333
60.0,103.0,0.333
103.0,28.0,0.6
28.0,103.0,0.6
103.0,81.0,0.556
81.0,103.0,0.556
103.0,9.0,0.667
9.0,103.0,0.667
103.0,114.0,0.476
114.0,103.0,0.476
103.0,105.0,0.5
105.0,103.0,0.5
103.0,3.0,0.556
3.0,103.0,0.556
103.0,41.0,1.0
41.0,103.0,1.0
103.0,86.0,0.4
86.0,103.0,0.4
103.0,150.0,0.667
150.0,103.0,0.667
103.0,79.0,0.5
79.0,103.0,0.5
103.0,104.0,0.618
104.0,103.0,0.618
103.0,887.0,1.0
887.0,103.0,1.0
103.0,120.0,0.2
120.0,103.0,0.2
103.0,74.0,0.2
74.0,103.0,0.2
103.0,420.0,0.0
420.0,103.0,0.0
103.0,39.0,0.696
39.0,103.0,0.696
103.0,427.0,0.286
427.0,103.0,0.286
103.0,40.0,0.6
40.0,103.0,0.6
103.0,59.0,0.5
59.0,103.0,0.5
103.0,24.0,0.357
24.0,103.0,0.357
103.0,126.0,0.571
126.0,103.0,0.571
103.0,202.0,0.52
202.0,103.0,0.52
103.0,222.0,0.333
222.0,103.0,0.333
103.0,145.0,0.474
145.0,103.0,0.474
103.0,429.0,0.5
429.0,103.0,0.5
103.0,43.0,0.444
43.0,103.0,0.444
103.0,30.0,0.462
30.0,103.0,0.462
103.0,38.0,0.0
38.0,103.0,0.0
103.0,55.0,1.0
55.0,103.0,1.0
103.0,10.0,0.5
10.0,103.0,0.5
103.0,141.0,0.6
141.0,103.0,0.6
103.0,85.0,0.5
85.0,103.0,0.5
103.0,121.0,0.476
121.0,103.0,0.476
103.0,203.0,0.625
203.0,103.0,0.625
103.0,240.0,0.333
240.0,103.0,0.333
103.0,96.0,0.5
96.0,103.0,0.5
103.0,7.0,0.0
7.0,103.0,0.0
103.0,64.0,0.432
64.0,103.0,0.432
103.0,89.0,0.714
89.0,103.0,0.714
103.0,876.0,0.778
876.0,103.0,0.778
103.0,127.0,0.5
127.0,103.0,0.5
103.0,236.0,0.424
236.0,103.0,0.424
103.0,117.0,0.545
117.0,103.0,0.545
103.0,99.0,0.75
99.0,103.0,0.75
103.0,54.0,0.545
54.0,103.0,0.545
103.0,90.0,0.5
90.0,103.0,0.5
103.0,57.0,0.714
57.0,103.0,0.714
103.0,11.0,0.5
11.0,103.0,0.5
103.0,21.0,0.595
21.0,103.0,0.595
103.0,62.0,0.462
62.0,103.0,0.462
103.0,82.0,0.5
82.0,103.0,0.5
103.0,25.0,0.5
25.0,103.0,0.5
103.0,267.0,0.684
267.0,103.0,0.684
103.0,75.0,0.75
75.0,103.0,0.75
103.0,111.0,0.474
111.0,103.0,0.474
103.0,518.0,0.5
518.0,103.0,0.5
103.0,76.0,0.571
76.0,103.0,0.571
103.0,56.0,0.5
56.0,103.0,0.5
103.0,20.0,0.5
20.0,103.0,0.5
103.0,2.0,0.714
2.0,103.0,0.714
103.0,61.0,0.5
61.0,103.0,0.5
103.0,516.0,0.75
516.0,103.0,0.75
103.0,80.0,0.4
80.0,103.0,0.4
103.0,78.0,0.545
78.0,103.0,0.545
103.0,555.0,0.636
555.0,103.0,0.636
103.0,246.0,0.308
246.0,103.0,0.308
103.0,133.0,0.5
133.0,103.0,0.5
103.0,497.0,0.455
497.0,103.0,0.455
103.0,33.0,0.5
33.0,103.0,0.5
103.0,421.0,0.889
421.0,103.0,0.889
103.0,526.0,0.2
526.0,103.0,0.2
103.0,58.0,0.5
58.0,103.0,0.5
103.0,107.0,0.562
107.0,103.0,0.562
103.0,92.0,0.533
92.0,103.0,0.533
103.0,68.0,0.4
68.0,103.0,0.4
103.0,13.0,0.0
13.0,103.0,0.0
103.0,360.0,0.438
360.0,103.0,0.438
103.0,113.0,0.0
113.0,103.0,0.0
103.0,235.0,0.588
235.0,103.0,0.588
103.0,147.0,0.364
147.0,103.0,0.364
103.0,875.0,0.474
875.0,103.0,0.474
103.0,35.0,0.417
35.0,103.0,0.417
103.0,98.0,0.364
98.0,103.0,0.364
103.0,102.0,0.0
102.0,103.0,0.0
103.0,27.0,0.8
27.0,103.0,0.8
103.0,14.0,0.6
14.0,103.0,0.6
103.0,15.0,0.25
15.0,103.0,0.25
103.0,72.0,0.0
72.0,103.0,0.0
103.0,37.0,0.609
37.0,103.0,0.609
103.0,16.0,0.619
16.0,103.0,0.619
103.0,50.0,1.0
50.0,103.0,1.0
103.0,517.0,1.0
517.0,103.0,1.0
103.0,134.0,0.0
134.0,103.0,0.0
103.0,223.0,1.0
223.0,103.0,1.0
103.0,163.0,0.556
163.0,103.0,0.556
103.0,91.0,0.444
91.0,103.0,0.444
103.0,44.0,0.5
44.0,103.0,0.5
103.0,17.0,0.375
17.0,103.0,0.375
103.0,412.0,0.545
412.0,103.0,0.545
103.0,18.0,0.722
18.0,103.0,0.722
103.0,48.0,0.4
48.0,103.0,0.4
103.0,23.0,0.25
23.0,103.0,0.25
103.0,4.0,0.5
4.0,103.0,0.5
103.0,29.0,0.4
29.0,103.0,0.4
103.0,77.0,0.5
77.0,103.0,0.5
103.0,6.0,0.444
6.0,103.0,0.444
103.0,110.0,0.333
110.0,103.0,0.333
103.0,67.0,0.5
67.0,103.0,0.5
103.0,45.0,0.5
45.0,103.0,0.5
103.0,161.0,0.5
161.0,103.0,0.5
103.0,711.0,0.545
711.0,103.0,0.545
103.0,254.0,0.5
254.0,103.0,0.5
103.0,234.0,0.6
234.0,103.0,0.6
103.0,112.0,0.5
112.0,103.0,0.5
103.0,8.0,0.0
8.0,103.0,0.0
103.0,106.0,1.0
106.0,103.0,1.0
103.0,19.0,1.0
19.0,103.0,1.0
103.0,498.0,0.4
498.0,103.0,0.4
103.0,101.0,0.4
101.0,103.0,0.4
103.0,5.0,0.625
5.0,103.0,0.625
103.0,157.0,0.6
157.0,103.0,0.6
103.0,777.0,0.5
777.0,103.0,0.5
103.0,83.0,0.0
83.0,103.0,0.0
103.0,350.0,0.438
350.0,103.0,0.438
103.0,154.0,0.333
154.0,103.0,0.333
103.0,238.0,0.917
238.0,103.0,0.917
103.0,115.0,0.75
115.0,103.0,0.75
103.0,26.0,0.3
26.0,103.0,0.3
103.0,142.0,0.333
142.0,103.0,0.333
103.0,143.0,1.0
143.0,103.0,1.0
84.0,166.0,0.333
166.0,84.0,0.333
84.0,12.0,0.625
12.0,84.0,0.625
84.0,32.0,0.75
32.0,84.0,0.75
84.0,34.0,0.4
34.0,84.0,0.4
84.0,1.0,0.25
1.0,84.0,0.25
84.0,523.0,0.538
523.0,84.0,0.538
84.0,22.0,0.444
22.0,84.0,0.444
84.0,136.0,0.5
136.0,84.0,0.5
84.0,268.0,0.5
268.0,84.0,0.5
84.0,432.0,0.357
432.0,84.0,0.357
84.0,53.0,0.438
53.0,84.0,0.438
84.0,63.0,0.7
63.0,84.0,0.7
84.0,201.0,0.167
201.0,84.0,0.167
84.0,51.0,0.48
51.0,84.0,0.48
84.0,164.0,0.364
164.0,84.0,0.364
84.0,69.0,0.25
69.0,84.0,0.25
84.0,31.0,0.25
31.0,84.0,0.25
84.0,42.0,1.0
42.0,84.0,1.0
84.0,122.0,0.5
122.0,84.0,0.5
84.0,131.0,0.5
131.0,84.0,0.5
84.0,119.0,0.571
119.0,84.0,0.571
84.0,36.0,0.0
36.0,84.0,0.0
84.0,245.0,0.357
245.0,84.0,0.357
84.0,60.0,0.75
60.0,84.0,0.75
84.0,28.0,0.333
28.0,84.0,0.333
84.0,81.0,0.564
81.0,84.0,0.564
84.0,9.0,0.667
9.0,84.0,0.667
84.0,114.0,0.571
114.0,84.0,0.571
84.0,105.0,1.0
105.0,84.0,1.0
84.0,3.0,0.25
3.0,84.0,0.25
84.0,41.0,0.0
41.0,84.0,0.0
84.0,86.0,0.5
86.0,84.0,0.5
84.0,150.0,1.0
150.0,84.0,1.0
84.0,79.0,0.5
79.0,84.0,0.5
84.0,104.0,0.6
104.0,84.0,0.6
84.0,887.0,0.0
887.0,84.0,0.0
84.0,120.0,0.182
120.0,84.0,0.182
84.0,74.0,0.0
74.0,84.0,0.0
84.0,420.0,1.0
420.0,84.0,1.0
84.0,39.0,0.5
39.0,84.0,0.5
84.0,427.0,1.0
427.0,84.0,1.0
84.0,40.0,0.333
40.0,84.0,0.333
84.0,59.0,0.4
59.0,84.0,0.4
84.0,24.0,0.625
24.0,84.0,0.625
84.0,126.0,0.2
126.0,84.0,0.2
