blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
98.0,104.0,131.0,22.0,32,114.0,245.0,55.0,51.0,267,blue,NA1_4054454346
164.0,64.0,711.0,166.0,26,157.0,59.0,69.0,51.0,25,blue,NA1_4057126293
54.0,35.0,711.0,15.0,40,82.0,104.0,777.0,202.0,161,red,NA1_4051908947
23.0,121.0,69.0,21.0,37,777.0,5.0,45.0,711.0,235,blue,NA1_4056971145
126.0,421.0,45.0,145.0,40,54.0,154.0,92.0,37.0,497,blue,NA1_4060111308
234.0,104.0,268.0,21.0,89,39.0,107.0,711.0,236.0,350,blue,NA1_4052747146
27.0,104.0,711.0,236.0,12,17.0,163.0,68.0,18.0,89,blue,NA1_4059938903
875.0,163.0,236.0,119.0,12,39.0,76.0,777.0,50.0,235,red,NA1_4058605489
875.0,59.0,134.0,523.0,201,114.0,5.0,246.0,711.0,40,blue,NA1_4050700068
114.0,91.0,13.0,202.0,432,23.0,121.0,7.0,81.0,37,red,NA1_4052220524
114.0,245.0,238.0,67.0,111,223.0,64.0,4.0,523.0,432,blue,NA1_4059517102
24.0,44.0,246.0,115.0,57,126.0,104.0,157.0,145.0,111,blue,NA1_4057852118
126.0,91.0,68.0,18.0,432,266.0,11.0,80.0,30.0,117,red,NA1_4056537161
107.0,28.0,517.0,67.0,350,23.0,35.0,38.0,81.0,32,blue,NA1_4057486636
36.0,64.0,26.0,45.0,555,27.0,246.0,39.0,21.0,37,blue,NA1_4058898864
78.0,245.0,7.0,18.0,40,92.0,876.0,42.0,21.0,25,blue,NA1_4050445343
23.0,120.0,13.0,236.0,44,62.0,59.0,91.0,115.0,37,red,NA1_4057646783
126.0,104.0,517.0,81.0,432,875.0,203.0,84.0,523.0,201,red,NA1_4059657805
150.0,2.0,147.0,119.0,555,98.0,427.0,236.0,30.0,412,blue,NA1_4051615762
517.0,246.0,42.0,235.0,12,85.0,64.0,245.0,236.0,201,red,NA1_4056007287
150.0,56.0,3.0,498.0,497,122.0,44.0,90.0,21.0,89,blue,NA1_4057288144
887.0,30.0,166.0,236.0,143,48.0,77.0,134.0,81.0,43,red,NA1_4055145160
24.0,64.0,38.0,30.0,16,8.0,245.0,62.0,119.0,43,red,NA1_4051448232
23.0,121.0,127.0,69.0,235,75.0,91.0,42.0,202.0,3,red,NA1_4058787006
164.0,79.0,166.0,21.0,143,777.0,91.0,518.0,202.0,101,blue,NA1_4053990099
875.0,91.0,517.0,21.0,89,266.0,5.0,13.0,145.0,32,blue,NA1_4058712621
43.0,28.0,23.0,21.0,267,223.0,203.0,3.0,236.0,201,red,NA1_4057699403
266.0,59.0,127.0,51.0,267,6.0,48.0,711.0,202.0,43,red,NA1_4058737905
85.0,777.0,234.0,21.0,32,875.0,163.0,126.0,29.0,350,red,NA1_4060081492
85.0,141.0,104.0,21.0,711,133.0,91.0,127.0,74.0,412,red,NA1_4057991647
875.0,77.0,7.0,145.0,111,223.0,64.0,39.0,110.0,161,red,NA1_4050434428
