blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
122.0,245.0,126.0,145.0,16,36.0,104.0,4.0,22.0,25,red,NA1_4052605862
67.0,238.0,55.0,236.0,12,133.0,5.0,4.0,498.0,78,red,NA1_4051481777
166.0,64.0,240.0,711.0,32,164.0,141.0,875.0,30.0,497,red,NA1_4057322206
223.0,246.0,38.0,51.0,16,876.0,91.0,18.0,101.0,53,red,NA1_4053998249
10.0,35.0,234.0,523.0,412,164.0,104.0,34.0,145.0,111,red,NA1_4057398386
777.0,5.0,238.0,222.0,117,266.0,104.0,20.0,110.0,101,red,NA1_4050605420
164.0,79.0,166.0,101.0,26,92.0,421.0,55.0,67.0,43,blue,NA1_4055824933
164.0,141.0,777.0,115.0,432,98.0,64.0,517.0,498.0,26,blue,NA1_4050458247
27.0,120.0,55.0,96.0,37,107.0,876.0,238.0,145.0,40,red,NA1_4057610338
266.0,56.0,105.0,21.0,161,114.0,104.0,711.0,236.0,111,blue,NA1_4055746326
133.0,5.0,34.0,119.0,53,17.0,121.0,777.0,22.0,63,red,NA1_4050861543
82.0,20.0,105.0,202.0,37,127.0,234.0,38.0,21.0,99,blue,NA1_4051384404
68.0,28.0,39.0,523.0,350,164.0,107.0,103.0,67.0,37,blue,NA1_4055281061
74.0,113.0,23.0,67.0,350,238.0,91.0,223.0,711.0,37,blue,NA1_4057731066
85.0,5.0,69.0,81.0,223,517.0,64.0,8.0,67.0,432,blue,NA1_4061307190
875.0,92.0,157.0,711.0,89,19.0,91.0,126.0,21.0,32,red,NA1_4052232913
164.0,104.0,711.0,51.0,235,56.0,141.0,55.0,21.0,53,blue,NA1_4053661934
58.0,28.0,105.0,81.0,555,13.0,121.0,75.0,145.0,497,red,NA1_4058881636
887.0,238.0,134.0,523.0,111,14.0,64.0,711.0,21.0,201,red,NA1_4056211374
24.0,254.0,30.0,236.0,555,6.0,163.0,4.0,22.0,350,red,NA1_4056698757
57.0,163.0,157.0,21.0,143,24.0,246.0,45.0,81.0,99,red,NA1_4052587736
41.0,25.0,268.0,21.0,63,875.0,203.0,13.0,147.0,117,blue,NA1_4057684813
27.0,154.0,157.0,51.0,350,517.0,141.0,238.0,63.0,40,blue,NA1_4051425548
266.0,64.0,90.0,15.0,63,39.0,876.0,25.0,22.0,267,blue,NA1_4052401923
24.0,9.0,3.0,51.0,497,150.0,234.0,13.0,119.0,32,blue,NA1_4050403008
875.0,234.0,711.0,51.0,147,17.0,64.0,517.0,202.0,432,blue,NA1_4059516300
166.0,421.0,38.0,236.0,16,62.0,203.0,42.0,202.0,57,blue,NA1_4058513249
13.0,141.0,34.0,119.0,350,92.0,131.0,777.0,81.0,711,blue,NA1_4051954683
54.0,141.0,38.0,51.0,412,164.0,104.0,3.0,81.0,43,blue,NA1_4050433169
92.0,154.0,126.0,711.0,555,875.0,56.0,517.0,157.0,89,red,NA1_4056580725
24.0,876.0,105.0,157.0,111,777.0,427.0,166.0,202.0,3,blue,NA1_4052245151
122.0,234.0,161.0,236.0,267,84.0,20.0,104.0,18.0,143,red,NA1_4058578474
48.0,245.0,23.0,202.0,497,114.0,44.0,711.0,166.0,57,blue,NA1_4052122376
23.0,245.0,517.0,18.0,3,92.0,104.0,127.0,21.0,32,blue,NA1_4054878795
82.0,876.0,246.0,81.0,412,98.0,5.0,99.0,22.0,267,red,NA1_4051037384
23.0,245.0,157.0,163.0,555,92.0,56.0,69.0,67.0,98,blue,NA1_4053611011
266.0,102.0,711.0,51.0,53,157.0,104.0,34.0,67.0,235,blue,NA1_4057876007
17.0,104.0,63.0,115.0,12,98.0,121.0,13.0,21.0,235,red,NA1_4058859976
31.0,121.0,8.0,236.0,16,887.0,91.0,105.0,67.0,117,blue,NA1_4056033552
777.0,5.0,101.0,202.0,412,68.0,203.0,126.0,21.0,89,red,NA1_4054661129
887.0,76.0,39.0,21.0,26,62.0,20.0,91.0,202.0,63,red,NA1_4053121170
68.0,91.0,517.0,360.0,89,10.0,64.0,43.0,145.0,48,blue,NA1_4055155715
17.0,44.0,711.0,202.0,37,164.0,163.0,166.0,360.0,111,red,NA1_4054085743
114.0,104.0,3.0,711.0,37,42.0,876.0,234.0,236.0,350,blue,NA1_4051246510
92.0,245.0,55.0,236.0,143,223.0,154.0,142.0,119.0,16,red,NA1_4058626300
777.0,76.0,105.0,51.0,555,166.0,141.0,7.0,360.0,32,blue,NA1_4050602831
164.0,33.0,127.0,101.0,154,887.0,238.0,7.0,81.0,235,red,NA1_4059650928
517.0,2.0,166.0,202.0,412,92.0,121.0,3.0,18.0,40,red,NA1_4056366014
31.0,141.0,84.0,429.0,16,98.0,30.0,711.0,81.0,89,red,NA1_4052144824
24.0,30.0,711.0,236.0,89,62.0,64.0,3.0,67.0,80,red,NA1_4060698850
85.0,30.0,23.0,67.0,555,54.0,64.0,238.0,711.0,43,blue,NA1_4060628223
39.0,141.0,1.0,67.0,89,223.0,876.0,157.0,18.0,25,red,NA1_4052000537
266.0,104.0,8.0,81.0,16,92.0,91.0,34.0,145.0,432,red,NA1_4058839578
54.0,141.0,517.0,523.0,37,164.0,121.0,68.0,222.0,43,red,NA1_4053597309
41.0,203.0,711.0,523.0,117,114.0,887.0,126.0,235.0,412,blue,NA1_4053859252
223.0,163.0,246.0,119.0,412,62.0,121.0,1.0,202.0,43,blue,NA1_4060791935
517.0,64.0,55.0,81.0,147,266.0,82.0,711.0,22.0,32,red,NA1_4050742251
266.0,91.0,245.0,523.0,526,98.0,203.0,517.0,119.0,79,blue,NA1_4060956199
875.0,203.0,517.0,222.0,89,164.0,104.0,518.0,21.0,147,red,NA1_4060166966
164.0,64.0,2.0,37.0,26,114.0,203.0,7.0,29.0,117,red,NA1_4050421679
39.0,59.0,112.0,711.0,412,17.0,131.0,777.0,236.0,16,blue,NA1_4054893045
114.0,102.0,245.0,523.0,412,24.0,203.0,42.0,67.0,63,blue,NA1_4060917195
39.0,113.0,238.0,51.0,26,157.0,131.0,61.0,8.0,235,red,NA1_4052020391
122.0,245.0,711.0,236.0,267,92.0,120.0,11.0,18.0,44,red,NA1_4052758086
17.0,59.0,266.0,523.0,9,31.0,203.0,3.0,21.0,432,red,NA1_4053104149
517.0,28.0,266.0,81.0,43,54.0,76.0,157.0,119.0,147,blue,NA1_4053925511
266.0,107.0,127.0,51.0,350,875.0,876.0,55.0,236.0,37,red,NA1_4055864776
114.0,64.0,104.0,115.0,53,223.0,2.0,517.0,236.0,267,blue,NA1_4060645257
107.0,9.0,236.0,498.0,89,164.0,421.0,8.0,22.0,147,red,NA1_4061162645
92.0,77.0,157.0,81.0,43,24.0,59.0,103.0,145.0,117,red,NA1_4057827520
266.0,5.0,45.0,202.0,412,24.0,56.0,777.0,236.0,37,red,NA1_4057810328
84.0,107.0,245.0,67.0,12,17.0,154.0,166.0,21.0,32,blue,NA1_4059112137
266.0,163.0,777.0,51.0,267,876.0,76.0,238.0,81.0,40,red,NA1_4060708477
82.0,234.0,245.0,21.0,143,164.0,104.0,101.0,51.0,32,red,NA1_4056612597
122.0,141.0,142.0,21.0,711,98.0,2.0,45.0,30.0,89,blue,NA1_4058743235
777.0,20.0,106.0,222.0,412,142.0,104.0,80.0,99.0,235,blue,NA1_4060795251
875.0,154.0,3.0,360.0,16,876.0,79.0,238.0,145.0,80,blue,NA1_4052303727
164.0,254.0,3.0,222.0,26,98.0,234.0,13.0,429.0,37,red,NA1_4055498050
126.0,154.0,711.0,222.0,432,164.0,91.0,86.0,67.0,163,red,NA1_4060615005
875.0,91.0,112.0,51.0,40,23.0,131.0,157.0,115.0,235,red,NA1_4051616257
62.0,59.0,13.0,22.0,40,266.0,64.0,517.0,119.0,201,blue,NA1_4057631413
711.0,28.0,238.0,15.0,12,62.0,107.0,50.0,236.0,32,red,NA1_4055231889
54.0,131.0,166.0,81.0,30,62.0,107.0,157.0,145.0,63,red,NA1_4059916648
17.0,59.0,777.0,119.0,16,48.0,44.0,142.0,51.0,43,red,NA1_4059975982
14.0,238.0,134.0,523.0,526,223.0,141.0,7.0,30.0,89,blue,NA1_4051035948
39.0,30.0,134.0,202.0,103,875.0,104.0,1.0,51.0,99,blue,NA1_4060893045
126.0,245.0,58.0,236.0,497,114.0,131.0,104.0,202.0,143,blue,NA1_4054983349
36.0,64.0,55.0,145.0,412,266.0,20.0,142.0,236.0,53,blue,NA1_4057764228
240.0,427.0,13.0,360.0,63,126.0,30.0,8.0,21.0,101,blue,NA1_4050480245
777.0,20.0,7.0,236.0,43,39.0,91.0,38.0,145.0,34,blue,NA1_4053598881
58.0,20.0,41.0,498.0,518,85.0,59.0,246.0,18.0,1,red,NA1_4056785426
875.0,121.0,161.0,498.0,497,31.0,131.0,39.0,21.0,555,blue,NA1_4054771325
39.0,104.0,75.0,50.0,412,164.0,107.0,7.0,26.0,37,blue,NA1_4060764317
48.0,91.0,517.0,81.0,350,516.0,107.0,1.0,67.0,526,red,NA1_4060541125
266.0,64.0,245.0,236.0,267,122.0,234.0,711.0,51.0,432,blue,NA1_4057810232
39.0,876.0,777.0,21.0,89,875.0,30.0,104.0,81.0,43,red,NA1_4059372485
39.0,32.0,142.0,18.0,89,68.0,234.0,85.0,119.0,526,red,NA1_4055242246
27.0,11.0,82.0,67.0,32,54.0,121.0,3.0,51.0,50,red,NA1_4050434872
62.0,59.0,85.0,523.0,412,67.0,30.0,246.0,115.0,111,blue,NA1_4054628936
