player 1,player 2,position,gold diff,xp diff,match id
98,80,0,-2559,-1374,NA1_4059593434
30,48,1,-835,-68,NA1_4059593434
238,7,2,-608,-385,NA1_4059593434
222,236,3,492,-598,NA1_4059593434
12,432,4,-490,910,NA1_4059593434
164,875,0,2508,1622,NA1_4059542139
163,30,1,2153,724,NA1_4059542139
103,777,2,1465,1650,NA1_4059542139
18,202,3,14,-313,NA1_4059542139
432,111,4,493,1506,NA1_4059542139
164,86,0,73,2066,NA1_4058383558
163,30,1,-4020,-3791,NA1_4058383558
38,238,2,-2013,-2253,NA1_4058383558
202,360,3,-1803,-1228,NA1_4058383558
53,89,4,-2434,-3709,NA1_4058383558
78,164,0,2636,2492,NA1_4055842175
5,30,1,365,-373,NA1_4055842175
246,157,2,252,638,NA1_4055842175
711,115,3,1584,1380,NA1_4055842175
555,16,4,986,512,NA1_4055842175
114,102,0,3712,1355,NA1_4055759423
104,245,1,2586,1292,NA1_4055759423
43,246,2,-1635,-2374,NA1_4055759423
21,236,3,-678,2116,NA1_4055759423
147,235,4,85,-239,NA1_4055759423
24,875,0,187,-16,NA1_4055775695
28,30,1,-1288,-1773,NA1_4055775695
777,39,2,386,1267,NA1_4055775695
51,236,3,-872,-27,NA1_4055775695
32,201,4,-1135,-720,NA1_4055775695
92,875,0,802,-100,NA1_4053947925
141,30,1,-4,-801,NA1_4053947925
13,142,2,27,299,NA1_4053947925
145,119,3,-77,16,NA1_4053947925
111,44,4,444,509,NA1_4053947925
62,23,0,-2526,-2323,NA1_4051399264
64,104,1,-2598,-1639,NA1_4051399264
20,711,2,-1043,13,NA1_4051399264
119,360,3,-2768,-1061,NA1_4051399264
40,111,4,-305,-860,NA1_4051399264
39,62,0,-945,-513,NA1_4051394714
30,427,1,1982,1523,NA1_4051394714
238,92,2,460,-260,NA1_4051394714
498,81,3,-230,-405,NA1_4051394714
111,32,4,-562,194,NA1_4051394714
150,164,0,-534,-499,NA1_4051382684
141,163,1,1119,-828,NA1_4051382684
517,38,2,-2094,-261,NA1_4051382684
236,202,3,-1227,-1508,NA1_4051382684
37,12,4,-1666,-1425,NA1_4051382684
887,39,0,2165,1818,NA1_4050907535
104,64,1,-537,225,NA1_4050907535
711,1,2,137,561,NA1_4050907535
236,51,3,2431,1446,NA1_4050907535
267,555,4,-567,-1472,NA1_4050907535
98,266,0,1931,1546,NA1_4060641858
60,64,1,1781,749,NA1_4060641858
246,7,2,-455,-451,NA1_4060641858
202,22,3,2216,118,NA1_4060641858
32,37,4,2514,1411,NA1_4060641858
98,85,0,-2730,-543,NA1_4060568431
78,91,1,517,-284,NA1_4060568431
38,18,2,1241,1756,NA1_4060568431
202,29,3,332,275,NA1_4060568431
53,43,4,1241,843,NA1_4060568431
98,92,0,495,1503,NA1_4060118381
106,104,1,1442,2736,NA1_4060118381
238,517,2,335,-1264,NA1_4060118381
236,21,3,1427,67,NA1_4060118381
201,32,4,790,1234,NA1_4060118381
266,98,0,-255,-65,NA1_4060073444
91,104,1,-984,-627,NA1_4060073444
55,711,2,1454,1752,NA1_4060073444
81,236,3,-823,383,NA1_4060073444
103,53,4,148,-764,NA1_4060073444
98,41,0,804,393,NA1_4059998516
421,5,1,-752,-554,NA1_4059998516
7,85,2,-48,-259,NA1_4059998516
236,81,3,-2319,-993,NA1_4059998516
111,43,4,-689,-186,NA1_4059998516
98,48,0,-2652,274,NA1_4059993477
245,32,1,-873,582,NA1_4059993477
238,39,2,1458,266,NA1_4059993477
21,711,3,-585,-154,NA1_4059993477
26,43,4,261,691,NA1_4059993477
98,39,0,811,1567,NA1_4059852012
59,64,1,2942,2444,NA1_4059852012
238,157,2,-571,761,NA1_4059852012
30,69,3,2284,2050,NA1_4059852012
32,497,4,439,688,NA1_4059852012
98,23,0,-1600,-619,NA1_4059677925
145,876,1,395,331,NA1_4059677925
517,246,2,-3079,-2333,NA1_4059677925
81,222,3,-247,277,NA1_4059677925
350,412,4,308,-84,NA1_4059677925
266,98,0,1062,640,NA1_4059692266
246,64,1,-2638,-1352,NA1_4059692266
157,7,2,-3752,-3976,NA1_4059692266
115,236,3,-1092,-293,NA1_4059692266
147,412,4,-922,-1347,NA1_4059692266
98,266,0,-1145,1066,NA1_4059616129
141,876,1,-5,-133,NA1_4059616129
84,238,2,2124,1011,NA1_4059616129
22,21,3,787,332,NA1_4059616129
63,101,4,1722,1159,NA1_4059616129
39,98,0,-744,-868,NA1_4058835197
76,245,1,-944,-298,NA1_4058835197
136,126,2,-1696,-1693,NA1_4058835197
119,51,3,-3130,-1506,NA1_4058835197
32,497,4,-691,-1410,NA1_4058835197
17,98,0,559,320,NA1_4058859976
104,121,1,2506,619,NA1_4058859976
63,13,2,-2123,-3371,NA1_4058859976
115,21,3,-1156,-879,NA1_4058859976
12,235,4,-2303,-490,NA1_4058859976
56,98,0,2265,105,NA1_4058746891
238,427,1,2080,166,NA1_4058746891
18,777,2,-465,-832,NA1_4058746891
147,236,3,-79,877,NA1_4058746891
111,350,4,-39,-824,NA1_4058746891
41,98,0,-661,-357,NA1_4058799939
121,131,1,-371,255,NA1_4058799939
1,777,2,-1507,-2140,NA1_4058799939
119,21,3,4912,1188,NA1_4058799939
555,16,4,2477,1010,NA1_4058799939
98,126,0,658,-119,NA1_4057274887
427,11,1,-2037,-1085,NA1_4057274887
517,7,2,-1000,-730,NA1_4057274887
115,18,3,-630,-1208,NA1_4057274887
412,53,4,-198,648,NA1_4057274887
517,98,0,614,634,NA1_4057258475
91,141,1,2504,891,NA1_4057258475
142,105,2,2684,2052,NA1_4057258475
235,236,3,2821,737,NA1_4057258475
48,267,4,2109,1523,NA1_4057258475
57,98,0,1498,993,NA1_4056788950
121,28,1,2538,168,NA1_4056788950
7,4,2,139,709,NA1_4056788950
15,21,3,795,-567,NA1_4056788950
111,25,4,-975,-29,NA1_4056788950
98,223,0,-1045,-813,NA1_4056044107
64,5,1,966,564,NA1_4056044107
518,105,2,2559,2645,NA1_4056044107
119,81,3,385,503,NA1_4056044107
412,350,4,512,-450,NA1_4056044107
62,98,0,-13,-1601,NA1_4055978934
121,245,1,-1722,-2454,NA1_4055978934
34,112,2,-489,-703,NA1_4055978934
81,202,3,28,40,NA1_4055978934
432,37,4,964,805,NA1_4055978934
67,98,0,667,428,NA1_4055984037
64,77,1,-545,1066,NA1_4055984037
238,10,2,3358,3028,NA1_4055984037
69,236,3,-297,82,NA1_4055984037
57,350,4,152,253,NA1_4055984037
98,164,0,-1234,-629,NA1_4055340187
104,59,1,2357,173,NA1_4055340187
45,517,2,-1493,-182,NA1_4055340187
22,119,3,2348,1312,NA1_4055340187
89,34,4,1020,1502,NA1_4055340187
84,98,0,1668,833,NA1_4055179246
59,203,1,-1727,-1793,NA1_4055179246
20,91,2,1078,119,NA1_4055179246
67,45,3,1603,647,NA1_4055179246
99,711,4,-556,244,NA1_4055179246
98,126,0,-449,271,NA1_4055155571
59,82,1,637,710,NA1_4055155571
69,157,2,866,539,NA1_4055155571
110,119,3,-1280,258,NA1_4055155571
147,526,4,243,639,NA1_4055155571
98,164,0,-1586,-54,NA1_4055169947
120,113,1,844,1084,NA1_4055169947
90,55,2,-5,352,NA1_4055169947
236,145,3,-1152,-602,NA1_4055169947
350,89,4,-770,-716,NA1_4055169947
98,114,0,-141,1201,NA1_4055084245
203,154,1,-175,491,NA1_4055084245
7,90,2,-1329,-784,NA1_4055084245
67,145,3,-2450,-841,NA1_4055084245
12,40,4,-213,68,NA1_4055084245
86,98,0,1914,1032,NA1_4055040513
104,91,1,-1746,-1612,NA1_4055040513
7,105,2,1080,450,NA1_4055040513
360,236,3,1026,1194,NA1_4055040513
163,201,4,1404,1325,NA1_4055040513
114,98,0,1238,-405,NA1_4055035045
106,876,1,548,346,NA1_4055035045
517,238,2,-1315,-2639,NA1_4055035045
22,222,3,503,1243,NA1_4055035045
432,154,4,2334,2485,NA1_4055035045
98,777,0,-1489,-443,NA1_4054980355
64,876,1,-893,-2065,NA1_4054980355
245,238,2,-419,1334,NA1_4054980355
119,145,3,3023,464,NA1_4054980355
57,111,4,955,546,NA1_4054980355
39,266,0,1710,1481,NA1_4054966190
59,104,1,-1071,-1533,NA1_4054966190
3,517,2,1232,1171,NA1_4054966190
360,37,3,2171,1993,NA1_4054966190
44,98,4,-734,-1900,NA1_4054966190
78,98,0,3194,1118,NA1_4054904467
