blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
98,30,238,222,12,80,48,7,236,432,blue,NA1_4059593434
164,163,103,18,432,875,30,777,202,111,blue,NA1_4059542139
164,163,38,202,53,86,30,238,360,89,red,NA1_4058383558
78,5,246,711,555,164,30,157,115,16,red,NA1_4055842175
114,104,43,21,147,102,245,246,236,235,blue,NA1_4055759423
24,28,777,51,32,875,30,39,236,201,blue,NA1_4055775695
92,141,13,145,111,875,30,142,119,44,red,NA1_4053947925
62,64,20,119,40,23,104,711,360,111,red,NA1_4051399264
39,30,238,498,111,62,427,92,81,32,red,NA1_4051394714
150,141,517,236,37,164,163,38,202,12,red,NA1_4051382684
887,104,711,236,267,39,64,1,51,555,blue,NA1_4050907535
98,60,246,202,32,266,64,7,22,37,blue,NA1_4060641858
98,78,38,202,53,85,91,18,29,43,blue,NA1_4060568431
98,106,238,236,201,92,104,517,21,32,blue,NA1_4060118381
266,91,55,81,103,98,104,711,236,53,red,NA1_4060073444
98,421,7,236,111,41,5,85,81,43,red,NA1_4059998516
98,245,238,21,26,48,32,39,711,43,red,NA1_4059993477
98,59,238,30,32,39,64,157,69,497,blue,NA1_4059852012
98,145,517,81,350,23,876,246,222,412,red,NA1_4059677925
266,246,157,115,147,98,64,7,236,412,red,NA1_4059692266
98,141,84,22,63,266,876,238,21,101,blue,NA1_4059616129
39,76,136,119,32,98,245,126,51,497,red,NA1_4058835197
17,104,63,115,12,98,121,13,21,235,red,NA1_4058859976
56,238,18,147,111,98,427,777,236,350,red,NA1_4058746891
41,121,1,119,555,98,131,777,21,16,red,NA1_4058799939
98,427,517,115,412,126,11,7,18,53,red,NA1_4057274887
517,91,142,235,48,98,141,105,236,267,blue,NA1_4057258475
57,121,7,15,111,98,28,4,21,25,blue,NA1_4056788950
98,64,518,119,412,223,5,105,81,350,blue,NA1_4056044107
62,121,34,81,432,98,245,112,202,37,red,NA1_4055978934
67,64,238,69,57,98,77,10,236,350,blue,NA1_4055984037
98,104,45,22,89,164,59,517,119,34,blue,NA1_4055340187
84,59,20,67,99,98,203,91,45,711,red,NA1_4055179246
98,59,69,110,147,126,82,157,119,526,blue,NA1_4055155571
98,120,90,236,350,164,113,55,145,89,blue,NA1_4055169947
98,203,7,67,12,114,154,90,145,40,red,NA1_4055084245
86,104,7,360,163,98,91,105,236,201,blue,NA1_4055040513
114,106,517,22,432,98,876,238,222,154,blue,NA1_4055035045
98,64,245,119,57,777,876,238,145,111,blue,NA1_4054980355
39,59,3,360,44,266,104,517,37,98,blue,NA1_4054966190
78,5,13,67,117,98,102,39,119,25,blue,NA1_4054904467
79,59,777,18,875,98,107,3,51,412,blue,NA1_4054921862
266,245,238,43,16,82,246,166,236,98,red,NA1_4054878652
223,876,777,202,432,266,154,711,21,98,blue,NA1_4054847092
266,421,16,30,53,98,28,69,236,497,red,NA1_4054883652
98,421,55,236,555,74,121,38,523,53,red,NA1_4054862003
98,131,39,37,147,875,104,30,145,26,blue,NA1_4054869795
54,60,711,21,111,98,121,127,51,432,red,NA1_4054558213
98,56,42,67,89,429,121,55,27,432,blue,NA1_4054563311
98,131,157,81,40,887,91,68,222,12,blue,NA1_4054487931
98,246,1,81,432,39,121,80,115,526,blue,NA1_4054501112
10,91,105,202,26,98,163,84,18,37,blue,NA1_4054425768
98,141,38,202,111,164,102,157,22,147,red,NA1_4054299695
516,2,96,498,147,75,131,711,51,25,red,NA1_4054323405
98,64,518,145,101,78,9,166,81,350,red,NA1_4054166803
98,234,4,236,34,122,102,61,202,89,blue,NA1_4053810567
57,141,517,51,34,98,203,238,18,43,red,NA1_4053775866
98,32,245,222,526,78,2,105,67,875,blue,NA1_4053762802
24,102,34,145,32,141,82,777,22,98,blue,NA1_4053659398
23,203,518,110,711,98,32,68,523,12,blue,NA1_4053705444
23,104,3,238,26,98,245,80,81,147,red,NA1_4053647317
98,48,7,498,267,78,27,236,21,32,blue,NA1_4053595486
420,59,103,50,43,98,78,517,67,34,blue,NA1_4053592637
875,9,13,145,53,98,59,61,119,89,red,NA1_4052847981
98,203,711,81,117,150,131,157,222,432,blue,NA1_4052872406
6,9,517,51,350,98,246,131,202,497,blue,NA1_4052787743
106,104,38,21,147,98,64,61,119,3,red,NA1_4052780414
114,121,38,429,111,98,5,142,67,147,red,NA1_4052736395
13,76,777,360,497,98,68,31,67,3,red,NA1_4052703309
98,79,142,119,412,74,245,777,22,555,red,NA1_4052690916
98,141,68,236,267,8,421,238,21,9,blue,NA1_4052437375
98,876,166,21,111,126,2,,157,32,blue,NA1_4052395087
98,245,23,81,16,164,141,517,119,53,blue,NA1_4051950705
98,102,157,21,111,266,104,69,202,432,blue,NA1_4051876813
23,59,777,30,32,98,91,13,18,43,blue,NA1_4051891289
98,82,166,119,555,777,141,61,236,432,red,NA1_4051587242
98,120,17,51,25,41,427,104,45,16,blue,NA1_4050708760
517,245,64,81,201,98,421,84,51,25,red,NA1_4050694498
114,238,134,39,117,19,427,115,67,32,red,NA1_4059656663
19,104,711,119,89,420,28,238,67,25,red,NA1_4059609058
85,106,238,235,147,517,59,105,51,432,red,NA1_4059517595
78,30,101,81,201,875,238,38,429,98,red,NA1_4059232854
517,91,157,29,412,14,203,238,115,555,blue,NA1_4059181505
82,238,84,81,37,164,35,53,51,98,blue,NA1_4059154132
23,876,246,21,12,58,120,90,18,43,blue,NA1_4059098883
164,64,90,360,89,875,876,711,235,350,red,NA1_4059040417
104,163,54,18,111,875,246,238,115,497,red,NA1_4058929183
157,163,238,236,350,266,121,84,18,27,blue,NA1_4058902865
24,163,91,81,40,107,234,75,115,89,red,NA1_4058803514
68,64,54,21,16,517,48,238,523,267,blue,NA1_4058741599
24,131,238,50,89,84,421,517,51,25,red,NA1_4058706503
6,64,68,145,111,150,59,238,115,25,blue,NA1_4058701758
517,59,43,81,40,54,104,238,134,432,blue,NA1_4058608377
517,9,246,202,89,777,238,54,147,63,blue,NA1_4058418697
23,238,711,51,53,266,104,75,67,32,red,NA1_4058426911
126,121,69,157,111,98,238,777,498,497,blue,NA1_4058451995
24,234,85,134,16,164,141,517,236,37,blue,NA1_4058421136
17,9,238,236,267,39,30,69,51,432,red,NA1_4058264377
98,14,127,236,53,107,427,101,147,235,red,NA1_4058199696
31,14,203,29,497,92,141,90,202,32,red,NA1_4058214477
114,238,103,523,412,164,163,157,119,43,blue,NA1_4058164197
